year;airport;Country;Continente;annual_visitors_air;male_visitors;female_visitors
2014;Delhi;Canada;America;56650;53.7;46.3
2014;Mumbai;Canada;America;3490;53.7;46.3
2014;Chennai;Canada;America;16109;53.7;46.3
2014;Calicut;Canada;America;143639;53.7;46.3
2014;Benguluru;Canada;America;11813;53.7;46.3
2014;Kolkata;Canada;America;7518;53.7;46.3
2014;Hyderabad;Canada;America;29265;53.7;46.3
2014;Cochin;Canada;America;0;53.7;46.3
2015;Delhi;Canada;America;55417;53.8;46.2
2015;Mumbai;Canada;America;4220;53.8;46.2
2015;Chennai;Canada;America;16878;53.8;46.2
2015;Calicut;Canada;America;153312;53.8;46.2
2015;Benguluru;Canada;America;12940;53.8;46.2
2015;Kolkata;Canada;America;8720;53.8;46.2
2015;Hyderabad;Canada;America;29818;53.8;46.2
2015;Cochin;Canada;America;0;53.8;46.2
2016;Delhi;Canada;America;205888;53.4;46.6
2016;Mumbai;Canada;America;57420;53.4;46.6
2016;Chennai;Canada;America;18083;53.4;46.6
2016;Calicut;Canada;America;0;53.4;46.6
2016;Benguluru;Canada;America;13641;53.4;46.6
2016;Kolkata;Canada;America;5076;53.4;46.6
2016;Hyderabad;Canada;America;9200;53.4;46.6
2016;Cochin;Canada;America;7931;53.4;46.6
2017;Delhi;Canada;America;190194;53;47
2017;Mumbai;Canada;America;65411;53;47
2017;Chennai;Canada;America;18114;53;47
2017;Calicut;Canada;America;0;53;47
2017;Benguluru;Canada;America;14424;53;47
2017;Kolkata;Canada;America;9057;53;47
2017;Hyderabad;Canada;America;8721;53;47
2017;Cochin;Canada;America;7044;53;47
2018;Delhi;Canada;America;193774;53.1;46.9
2018;Mumbai;Canada;America;73016;53.1;46.9
2018;Chennai;Canada;America;17903;53.1;46.9
2018;Calicut;Canada;America;0;53.1;46.9
2018;Benguluru;Canada;America;17903;53.1;46.9
2018;Kolkata;Canada;America;5266;53.1;46.9
2018;Hyderabad;Canada;America;10180;53.1;46.9
2018;Cochin;Canada;America;10531;53.1;46.9
2019;Delhi;Canada;America;224486;53.1;46.9
2019;Mumbai;Canada;America;53131;53.1;46.9
2019;Chennai;Canada;America;14074;53.1;46.9
2019;Calicut;Canada;America;1056;53.1;46.9
2019;Benguluru;Canada;America;16186;53.1;46.9
2019;Kolkata;Canada;America;3167;53.1;46.9
2019;Hyderabad;Canada;America;11611;53.1;46.9
2019;Cochin;Canada;America;9852;53.1;46.9
2020;Delhi;Canada;America;88096;53.23;46.77
2020;Mumbai;Canada;America;12901;53.23;46.77
2020;Chennai;Canada;America;3195;53.23;46.77
2020;Calicut;Canada;America;246;53.23;46.77
2020;Benguluru;Canada;America;4792;53.23;46.77
2020;Kolkata;Canada;America;614;53.23;46.77
2020;Hyderabad;Canada;America;3195;53.23;46.77
2020;Cochin;Canada;America;3072;53.23;46.77
2014;Delhi;U.S.A;America;288698;55.9;44.1
2014;Mumbai;U.S.A;America;22380;55.9;44.1
2014;Chennai;U.S.A;America;92876;55.9;44.1
2014;Calicut;U.S.A;America;348004;55.9;44.1
2014;Benguluru;U.S.A;America;114136;55.9;44.1
2014;Kolkata;U.S.A;America;99589;55.9;44.1
2014;Hyderabad;U.S.A;America;153301;55.9;44.1
2014;Cochin;U.S.A;America;0;55.9;44.1
2015;Delhi;U.S.A;America;290056;55.5;44.5
2015;Mumbai;U.S.A;America;27913;55.5;44.5
2015;Chennai;U.S.A;America;98304;55.5;44.5
2015;Calicut;U.S.A;America;377437;55.5;44.5
2015;Benguluru;U.S.A;America;127431;55.5;44.5
2015;Kolkata;U.S.A;America;115294;55.5;44.5
2015;Hyderabad;U.S.A;America;177189;55.5;44.5
2015;Cochin;U.S.A;America;0;55.5;44.5
